applied current, measured voltage
0.0, -0.000831
1e-06, -0.0008329
2e-06, -0.0008327
3e-06, -0.0008323
4e-06, -0.0008325
4.9999999999999996e-06, -0.000831
6e-06, -0.0008302
7e-06, -0.0008293
8e-06, -0.0008284
9e-06, -0.0008293
9.999999999999999e-06, -0.0008287
1.1e-05, -0.000829
1.2e-05, -0.0008284
1.3e-05, -0.0008285
1.4e-05, -0.0008284
1.4999999999999999e-05, -0.0008283
1.6e-05, -0.0008285
1.7e-05, -0.0008296
1.8e-05, -0.0008306
1.8999999999999998e-05, -0.0008308
1.9999999999999998e-05, -0.0008303
2.1e-05, -0.0008301
2.2e-05, -0.000829
2.3e-05, -0.00083
2.4e-05, -0.0008304
2.4999999999999998e-05, -0.0008299
2.6e-05, -0.0008297
2.7e-05, -0.0008315
2.8e-05, -0.0008327
2.9e-05, -0.0008327
2.9999999999999997e-05, -0.0008336
3.1e-05, -0.0008338
3.2e-05, -0.0008324
3.2999999999999996e-05, -0.0008326
3.4e-05, -0.0008322
3.5e-05, -0.0008318
3.6e-05, -0.0008309
3.7e-05, -0.0008301
3.7999999999999995e-05, -0.0008301
3.9e-05, -0.0008305
3.9999999999999996e-05, -0.000831
4.1e-05, -0.0008305
4.2e-05, -0.0008309
4.2999999999999995e-05, -0.0008306
4.4e-05, -0.0008306
4.4999999999999996e-05, -0.0008297
4.6e-05, -0.0008301
4.7e-05, -0.0008307
4.8e-05, -0.0008315
4.9e-05, -0.0008311
4.9999999999999996e-05, -0.0008306
5.1e-05, -0.0008301
5.2e-05, -0.0008306
5.3e-05, -0.0008307
5.4e-05, -0.0008309
5.4999999999999995e-05, -0.0008327
5.6e-05, -0.0008333
5.6999999999999996e-05, -0.0008325
5.8e-05, -0.0008322
5.9e-05, -0.0008311
5.9999999999999995e-05, -0.0008298
6.1e-05, -0.000829
6.2e-05, -0.0008286
6.3e-05, -0.0008303
6.4e-05, -0.0008306
6.5e-05, -0.0008306
6.599999999999999e-05, -0.0008315
6.7e-05, -0.0008321
6.8e-05, -0.0008309
6.9e-05, -0.000831
7e-05, -0.0008307
7.099999999999999e-05, -0.0008307
7.2e-05, -0.0008308
7.3e-05, -0.0008302
7.4e-05, -0.0008305
7.5e-05, -0.0008311
7.599999999999999e-05, -0.0008305
7.7e-05, -0.0008288
7.8e-05, -0.0008275
7.9e-05, -0.0008275
7.999999999999999e-05, -0.0008274
8.099999999999999e-05, -0.0008278
8.2e-05, -0.0008294
8.3e-05, -0.0008289
8.4e-05, -0.0008301
8.499999999999999e-05, -0.0008316
8.599999999999999e-05, -0.0008319
8.7e-05, -0.0008325
8.8e-05, -0.0008327
8.9e-05, -0.0008325
8.999999999999999e-05, -0.0008335
9.099999999999999e-05, -0.0008342
9.2e-05, -0.0008334
9.3e-05, -0.0008326
9.4e-05, -0.0008303
9.499999999999999e-05, -0.0008292
9.6e-05, -0.0008289
9.7e-05, -0.0008296
9.8e-05, -0.0008305
9.9e-05, -0.0008313
9.999999999999999e-05, -0.0008295
0.000101, -0.0008291
0.000102, -0.0008291
0.000103, -0.0008297
0.000104, -0.0008298
0.00010499999999999999, -0.0008293
0.000106, -0.0008302
0.000107, -0.000831
0.000108, -0.0008315
0.00010899999999999999, -0.0008332
0.00010999999999999999, -0.0008328
0.000111, -0.0008342
0.000112, -0.000833
0.000113, -0.000833
0.00011399999999999999, -0.000832
0.00011499999999999999, -0.0008315
0.000116, -0.0008321
0.000117, -0.0008331
0.000118, -0.0008333
0.00011899999999999999, -0.0008328
0.00011999999999999999, -0.0008334
0.000121, -0.0008343
0.000122, -0.0008347
0.00012299999999999998, -0.0008355
0.000124, -0.000836
0.000125, -0.0008359
0.000126, -0.0008357
0.000127, -0.0008351
0.000128, -0.0008356
0.000129, -0.0008352
0.00013, -0.0008358
0.00013099999999999999, -0.0008352
0.00013199999999999998, -0.0008351
0.000133, -0.0008346
0.000134, -0.000833
0.000135, -0.0008327
0.000136, -0.0008323
0.000137, -0.0008326
0.000138, -0.0008324
0.000139, -0.0008329
0.00014, -0.000833
0.00014099999999999998, -0.0008329
0.00014199999999999998, -0.0008327
0.000143, -0.0008314
0.000144, -0.0008308
0.000145, -0.0008307
0.000146, -0.0008306
0.000147, -0.0008301
0.000148, -0.0008301
0.000149, -0.0008298
0.00015, -0.0008291
0.00015099999999999998, -0.0008292
0.00015199999999999998, -0.0008301
0.000153, -0.0008311
0.000154, -0.0008325
0.000155, -0.0008334
0.000156, -0.0008347
0.000157, -0.0008352
0.000158, -0.0008355
0.000159, -0.0008357
0.00015999999999999999, -0.0008355
0.00016099999999999998, -0.0008352
0.00016199999999999998, -0.0008343
0.000163, -0.0008341
0.000164, -0.0008329
0.000165, -0.0008323
0.000166, -0.0008327
0.000167, -0.000834
0.000168, -0.0008336
0.000169, -0.000834
0.00016999999999999999, -0.0008345
0.00017099999999999998, -0.000836
0.00017199999999999998, -0.000836
0.000173, -0.000836
0.000174, -0.0008367
0.000175, -0.0008361
0.000176, -0.0008344
0.000177, -0.0008338
0.000178, -0.0008338
0.000179, -0.0008326
0.00017999999999999998, -0.0008323
0.00018099999999999998, -0.0008312
0.00018199999999999998, -0.0008322
0.000183, -0.0008321
0.000184, -0.0008275
0.000185, -0.0008274
0.000186, -0.0008286
0.000187, -0.0008295
0.000188, -0.0008299
0.00018899999999999999, -0.0008298
0.00018999999999999998, -0.0008296
0.00019099999999999998, -0.0008299
0.000192, -0.0008269
0.000193, -0.0007227
0.000194, -0.0008304
0.000195, -0.000827
0.000196, -0.0008272
0.000197, -0.0008187
0.000198, -0.0008187
0.00019899999999999999, -0.0008219
0.00019999999999999998, -0.0008259
0.00020099999999999998, -0.0008232
0.000202, -0.0008224
0.000203, -0.0008264
0.000204, -0.0008278
0.000205, -0.000822
0.000206, -0.000227
0.000207, -0.0007351
0.000208, -0.0007392
0.00020899999999999998, 0.0002861
0.00020999999999999998, -0.0003184
0.00021099999999999998, 0.0003023
0.000212, 0.0003057
0.000213, -0.0002613
0.000214, -0.0003672
0.000215, 0.0003276
0.000216, 0.0002757
0.000217, 0.0002223
0.00021799999999999999, 0.0002314
0.00021899999999999998, 0.0003425
0.00021999999999999998, 0.0002346
0.00022099999999999998, 0.0003529
0.000222, 0.0003447
0.000223, 0.0003465
0.000224, 0.0003443
0.000225, 0.0003533
0.000226, 0.0003516
0.000227, 0.0003619
0.00022799999999999999, 0.0003721
0.00022899999999999998, 0.0003777
0.00022999999999999998, 0.0003867
0.00023099999999999998, 0.0003937
0.000232, 0.0003997
0.000233, 0.0004069
0.000234, 0.0004133
0.000235, 0.0004165
0.000236, 0.0004206
0.000237, 0.0004247
0.00023799999999999998, 0.0004295
0.00023899999999999998, 0.0004347
0.00023999999999999998, 0.0004387
0.00024099999999999998, 0.0004456
0.000242, 0.0004519
0.000243, 0.0004581
0.000244, 0.0004624
0.000245, 0.0004659
0.00024599999999999996, 0.0004708
0.000247, 0.0004775
0.000248, 0.000483
0.000249, 0.0004884
0.00025, 0.0004939
0.000251, 0.0004977
0.000252, 0.0005038
0.00025299999999999997, 0.0005084
0.000254, 0.0005132
0.00025499999999999996, 0.0005185
0.000256, 0.0005217
0.000257, 0.0005256
0.000258, 0.0005307
0.000259, 0.0005364
0.00026, 0.0005409
0.000261, 0.0005454
0.00026199999999999997, 0.0005477
0.000263, 0.0005515
0.00026399999999999997, 0.0005557
0.000265, 0.0005587
0.000266, 0.0005622
0.000267, 0.0005653
0.000268, 0.0005692
0.000269, 0.0005747
0.00027, 0.0005786
0.000271, 0.0005822
0.000272, 0.0005856
0.00027299999999999997, 0.0005883
0.000274, 0.000591
0.00027499999999999996, 0.0005944
0.000276, 0.0005989
0.000277, 0.0006021
0.000278, 0.0006036
0.000279, 0.000606
0.00028, 0.0006084
0.000281, 0.0006111
0.00028199999999999997, 0.0006144
0.000283, 0.0006165
0.00028399999999999996, 0.0006195
0.000285, 0.0006227
0.000286, 0.0006267
0.000287, 0.0006286
0.000288, 0.000631
0.000289, 0.0006332
0.00029, 0.000637
0.00029099999999999997, 0.0006408
0.000292, 0.0006441
0.00029299999999999997, 0.0006464
0.000294, 0.0006482
0.00029499999999999996, 0.0006504
0.000296, 0.000653
0.000297, 0.0006553
0.000298, 0.0006565
0.000299, 0.0006583
0.0003, 0.0006616
0.000301, 0.0006647
0.00030199999999999997, 0.0006683
0.000303, 0.000673
0.00030399999999999996, 0.0006768
0.000305, 0.0006792
0.000306, 0.0006839
0.000307, 0.0006855
0.000308, 0.0006883
0.000309, 0.0006912
0.00031, 0.0006939
0.00031099999999999997, 0.0006978
0.000312, 0.0007028
0.00031299999999999996, 0.0007086
0.000314, 0.0007137
0.00031499999999999996, 0.0007167
0.000316, 0.0007214
0.000317, 0.0007261
0.000318, 0.0007299
0.000319, 0.0007341
0.00031999999999999997, 0.0007383
0.000321, 0.0007426
0.00032199999999999997, 0.0007472
0.000323, 0.0007509
0.00032399999999999996, 0.0007559
0.000325, 0.0007604
0.000326, 0.0007636
0.000327, 0.0007668
0.000328, 0.0007699
0.000329, 0.0007743
0.00033, 0.0007798
0.00033099999999999997, 0.000784
0.000332, 0.0007902
0.00033299999999999996, 0.0007961
0.000334, 0.000801
0.000335, 0.0008058
0.000336, 0.0008108
0.000337, 0.0008136
0.000338, 0.0008162
0.000339, 0.0008192
0.00033999999999999997, 0.0008239
0.000341, 0.0008281
0.00034199999999999996, 0.0008319
0.000343, 0.0008344
0.00034399999999999996, 0.0008371
0.000345, 0.0008402
0.000346, 0.0008441
0.000347, 0.0008494
0.000348, 0.0008545
0.00034899999999999997, 0.0008581
0.00035, 0.0008624
0.00035099999999999997, 0.0008674
0.000352, 0.0008731
0.00035299999999999996, 0.0008781
0.000354, 0.0008817
0.000355, 0.0008865
0.000356, 0.0008896
0.000357, 0.0008934
0.000358, 0.0008972
0.000359, 0.0009002
0.00035999999999999997, 0.0009046
0.000361, 0.0009092
0.00036199999999999996, 0.0009136
0.000363, 0.0009191
0.00036399999999999996, 0.0009232
0.000365, 0.0009255
0.000366, 0.0009286
0.000367, 0.0009314
0.000368, 0.0009363
0.00036899999999999997, 0.0009422
0.00037, 0.0009458
0.00037099999999999996, 0.0009514
0.000372, 0.0009554
0.00037299999999999996, 0.0009596
0.000374, 0.0009643
0.000375, 0.000969
0.000376, 0.0009721
0.000377, 0.0009746
0.00037799999999999997, 0.0009787
0.000379, 0.0009832
0.00037999999999999997, 0.0009869
0.000381, 0.0009901
0.00038199999999999996, 0.0009942
0.000383, 0.0009984
0.000384, 0.0010021
0.000385, 0.0010058
0.000386, 0.0010105
0.000387, 0.0010131
0.000388, 0.0010181
