applied current, measured voltage
0.0, -0.0008989
1e-06, -0.0009035
2e-06, -0.0009053
3e-06, -0.0009066
4e-06, -0.0009074
4.9999999999999996e-06, -0.0009081
6e-06, -0.0009084
7e-06, -0.0009101
8e-06, -0.0009108
9e-06, -0.0009107
9.999999999999999e-06, -0.0009112
1.1e-05, -0.0009121
1.2e-05, -0.0009123
1.3e-05, -0.0009115
1.4e-05, -0.0009112
1.4999999999999999e-05, -0.00091
1.6e-05, -0.0009093
1.7e-05, -0.0009086
1.8e-05, -0.0009074
1.8999999999999998e-05, -0.0009078
1.9999999999999998e-05, -0.0009076
2.1e-05, -0.0009074
2.2e-05, -0.0009077
2.3e-05, -0.0009083
2.4e-05, -0.0009093
2.4999999999999998e-05, -0.0009102
2.6e-05, -0.0009109
2.7e-05, -0.0009106
2.8e-05, -0.0009122
2.9e-05, -0.0009117
2.9999999999999997e-05, -0.0009125
3.1e-05, -0.0009127
3.2e-05, -0.0009128
3.2999999999999996e-05, -0.0009133
3.4e-05, -0.0009142
3.5e-05, -0.0009136
3.6e-05, -0.0009128
3.7e-05, -0.0009123
3.7999999999999995e-05, -0.0009128
3.9e-05, -0.0009142
3.9999999999999996e-05, -0.0009158
4.1e-05, -0.0009159
4.2e-05, -0.0009156
4.2999999999999995e-05, -0.0009161
4.4e-05, -0.0009153
4.4999999999999996e-05, -0.0009156
4.6e-05, -0.0009159
4.7e-05, -0.0009167
4.8e-05, -0.0009165
4.9e-05, -0.0009164
4.9999999999999996e-05, -0.0009159
5.1e-05, -0.0009158
5.2e-05, -0.0009158
5.3e-05, -0.0009152
5.4e-05, -0.000915
5.4999999999999995e-05, -0.0009133
5.6e-05, -0.000912
5.6999999999999996e-05, -0.0009125
5.8e-05, -0.0009132
5.9e-05, -0.0009147
5.9999999999999995e-05, -0.0009159
6.1e-05, -0.000916
6.2e-05, -0.000916
6.3e-05, -0.0009162
6.4e-05, -0.0009168
6.5e-05, -0.0009174
6.599999999999999e-05, -0.0009177
6.7e-05, -0.0009193
6.8e-05, -0.0009196
6.9e-05, -0.0009199
7e-05, -0.0009184
7.099999999999999e-05, -0.0009185
7.2e-05, -0.000918
7.3e-05, -0.0009179
7.4e-05, -0.0009178
7.5e-05, -0.0009171
7.599999999999999e-05, -0.0009174
7.7e-05, -0.0009178
7.8e-05, -0.0009178
7.9e-05, -0.0009185
7.999999999999999e-05, -0.0009187
8.099999999999999e-05, -0.0009179
8.2e-05, -0.0009179
8.3e-05, -0.0009156
8.4e-05, -0.0009154
8.499999999999999e-05, -0.0009136
8.599999999999999e-05, -0.0009133
8.7e-05, -0.0009125
8.8e-05, -0.0009122
8.9e-05, -0.0009111
8.999999999999999e-05, -0.000912
9.099999999999999e-05, -0.0009116
9.2e-05, -0.0009118
9.3e-05, -0.0009121
9.4e-05, -0.0009119
9.499999999999999e-05, -0.0009124
9.6e-05, -0.0009117
9.7e-05, -0.0009107
9.8e-05, -0.0009092
9.9e-05, -0.0009087
9.999999999999999e-05, -0.0009083
0.000101, -0.0009085
0.000102, -0.0009075
0.000103, -0.0009057
0.000104, -0.0009054
0.00010499999999999999, -0.0009078
0.000106, -0.0009089
0.000107, -0.0009113
0.000108, -0.000912
0.00010899999999999999, -0.000912
0.00010999999999999999, -0.0009115
0.000111, -0.0009119
0.000112, -0.0009119
0.000113, -0.0009111
0.00011399999999999999, -0.0009094
0.00011499999999999999, -0.0009081
0.000116, -0.0009068
0.000117, -0.0009062
0.000118, -0.0009056
