applied current, measured voltage
0.0, -0.0009071
1e-06, -0.0009074
2e-06, -0.0009084
3e-06, -0.0009094
4e-06, -0.0009106
4.9999999999999996e-06, -0.0009127
6e-06, -0.0009144
7e-06, -0.000915
8e-06, -0.0009149
9e-06, -0.0009156
9.999999999999999e-06, -0.0009149
1.1e-05, -0.0009139
1.2e-05, -0.0009138
1.3e-05, -0.000913
1.4e-05, -0.000913
1.4999999999999999e-05, -0.0009117
1.6e-05, -0.00091
1.7e-05, -0.0009097
1.8e-05, -0.00091
1.8999999999999998e-05, -0.0009102
1.9999999999999998e-05, -0.0009082
2.1e-05, -0.0009062
2.2e-05, -0.0009068
2.3e-05, -0.0009077
2.4e-05, -0.0009091
2.4999999999999998e-05, -0.0009093
2.6e-05, -0.0009101
2.7e-05, -0.000911
2.8e-05, -0.0009106
2.9e-05, -0.0009112
2.9999999999999997e-05, -0.0009107
3.1e-05, -0.0009111
3.2e-05, -0.0009124
3.2999999999999996e-05, -0.0009127
3.4e-05, -0.0009121
3.5e-05, -0.0009115
3.6e-05, -0.0009115
3.7e-05, -0.0009124
3.7999999999999995e-05, -0.0009123
3.9e-05, -0.0009124
3.9999999999999996e-05, -0.0009125
4.1e-05, -0.0009117
4.2e-05, -0.0009116
4.2999999999999995e-05, -0.0009127
4.4e-05, -0.0009125
4.4999999999999996e-05, -0.000912
4.6e-05, -0.0009116
4.7e-05, -0.0009109
4.8e-05, -0.0009104
4.9e-05, -0.0009108
4.9999999999999996e-05, -0.0009108
5.1e-05, -0.0009122
5.2e-05, -0.0009128
5.3e-05, -0.0009138
5.4e-05, -0.0009135
5.4999999999999995e-05, -0.0009131
5.6e-05, -0.0009132
5.6999999999999996e-05, -0.0009133
5.8e-05, -0.0009133
5.9e-05, -0.0009142
5.9999999999999995e-05, -0.0009146
6.1e-05, -0.0009148
6.2e-05, -0.0009157
6.3e-05, -0.0009159
6.4e-05, -0.0009177
6.5e-05, -0.0009191
6.599999999999999e-05, -0.0009205
6.7e-05, -0.0009201
6.8e-05, -0.0009197
6.9e-05, -0.0009197
7e-05, -0.000919
7.099999999999999e-05, -0.0009188
7.2e-05, -0.0009176
7.3e-05, -0.0009174
7.4e-05, -0.0009183
7.5e-05, -0.0009195
7.599999999999999e-05, -0.0009192
7.7e-05, -0.0009182
7.8e-05, -0.000919
7.9e-05, -0.0009197
7.999999999999999e-05, -0.0009189
8.099999999999999e-05, -0.0009177
8.2e-05, -0.0009154
8.3e-05, -0.0009145
8.4e-05, -0.0009144
8.499999999999999e-05, -0.000914
8.599999999999999e-05, -0.0009144
8.7e-05, -0.0009135
8.8e-05, -0.000912
8.9e-05, -0.0009112
8.999999999999999e-05, -0.0009098
9.099999999999999e-05, -0.0009087
9.2e-05, -0.000909
9.3e-05, -0.0009102
9.4e-05, -0.0009102
9.499999999999999e-05, -0.0009105
9.6e-05, -0.0009106
9.7e-05, -0.0009115
9.8e-05, -0.0009113
9.9e-05, -0.0009114
9.999999999999999e-05, -0.0009123
0.000101, -0.0009141
0.000102, -0.0009149
0.000103, -0.0009155
0.000104, -0.0009156
0.00010499999999999999, -0.0009159
0.000106, -0.0009174
0.000107, -0.0009176
0.000108, -0.0009169
0.00010899999999999999, -0.0009168
0.00010999999999999999, -0.0009158
0.000111, -0.0009153
0.000112, -0.0009148
0.000113, -0.0009149
0.00011399999999999999, -0.0009149
0.00011499999999999999, -0.0009147
0.000116, -0.0009145
0.000117, -0.0009141
0.000118, -0.0009132
0.00011899999999999999, -0.0009127
0.00011999999999999999, -0.0009143
0.000121, -0.0009152
0.000122, -0.0009151
0.00012299999999999998, -0.000916
0.000124, -0.0009165
0.000125, -0.0009166
0.000126, -0.0009168
0.000127, -0.0009171
0.000128, -0.0009179
0.000129, -0.0009192
0.00013, -0.00092
0.00013099999999999999, -0.000919
0.00013199999999999998, -0.000918
0.000133, -0.0009179
0.000134, -0.000917
0.000135, -0.0009173
0.000136, -0.0009172
0.000137, -0.0009169
0.000138, -0.0009171
0.000139, -0.0009166
0.00014, -0.0009159
0.00014099999999999998, -0.0009159
0.00014199999999999998, -0.0009148
0.000143, -0.000915
0.000144, -0.0009157
0.000145, -0.0009162
0.000146, -0.000917
0.000147, -0.0009169
0.000148, -0.0009167
0.000149, -0.0009168
0.00015, -0.0009185
0.00015099999999999998, -0.0009191
0.00015199999999999998, -0.000919
0.000153, -0.000918
0.000154, -0.0009159
0.000155, -0.0009146
0.000156, -0.0009139
0.000157, -0.0009141
0.000158, -0.000915
0.000159, -0.0009151
0.00015999999999999999, -0.0009148
0.00016099999999999998, -0.0009141
0.00016199999999999998, -0.0009135
0.000163, -0.0009124
0.000164, -0.0009118
0.000165, -0.0009126
0.000166, -0.0009124
0.000167, -0.000913
0.000168, -0.0009121
0.000169, -0.0009117
0.00016999999999999999, -0.0009119
0.00017099999999999998, -0.0009116
0.00017199999999999998, -0.0009129
0.000173, -0.0009141
0.000174, -0.0009154
0.000175, -0.0009143
0.000176, -0.0009105
0.000177, -0.0009059
0.000178, -0.0009046
0.000179, -0.0009035
0.00017999999999999998, -0.0009016
0.00018099999999999998, -0.0007782
0.00018199999999999998, -0.0008731
0.000183, -0.0007342
0.000184, -0.0002382
0.000185, -0.0007814
0.000186, -0.0005948
0.000187, -0.0006125
0.000188, -0.0004809
0.00018899999999999999, 7.76e-05
0.00018999999999999998, 0.0001794
0.00019099999999999998, -0.0004051
0.000192, -0.0003652
0.000193, -9.39e-05
0.000194, -0.0003388
0.000195, 9.63e-05
0.000196, 0.0002283
0.000197, -0.0001311
0.000198, -9.05e-05
0.00019899999999999999, 0.0002387
0.00019999999999999998, -0.000124
0.00020099999999999998, 0.0002437
0.000202, 0.0002462
0.000203, 0.0002505
0.000204, 0.000254
0.000205, 0.0002732
0.000206, 0.0002727
0.000207, 0.0002754
0.000208, 0.000279
0.00020899999999999998, 0.0002829
0.00020999999999999998, 0.0002861
0.00021099999999999998, 0.0002889
0.000212, 0.0002854
0.000213, 0.0002785
0.000214, 0.0002907
0.000215, 0.000297
0.000216, 0.0003057
0.000217, 0.0003156
0.00021799999999999999, 0.0003226
0.00021899999999999998, 0.0003298
0.00021999999999999998, 0.0003345
0.00022099999999999998, 0.0003417
0.000222, 0.0003477
0.000223, 0.0003542
0.000224, 0.0003617
0.000225, 0.0003698
0.000226, 0.0003743
0.000227, 0.0003798
0.00022799999999999999, 0.0003842
0.00022899999999999998, 0.0003894
0.00022999999999999998, 0.0003949
0.00023099999999999998, 0.0003979
0.000232, 0.0004031
0.000233, 0.0004079
0.000234, 0.0004136
0.000235, 0.0004203
0.000236, 0.0004254
0.000237, 0.0004294
0.00023799999999999998, 0.0004341
0.00023899999999999998, 0.0004407
0.00023999999999999998, 0.0004474
0.00024099999999999998, 0.0004545
0.000242, 0.000458
0.000243, 0.0004622
0.000244, 0.0004679
0.000245, 0.0004725
0.00024599999999999996, 0.0004779
0.000247, 0.0004814
0.000248, 0.0004855
0.000249, 0.0004898
0.00025, 0.0004931
0.000251, 0.0004962
0.000252, 0.0004998
0.00025299999999999997, 0.0005026
0.000254, 0.0005056
0.00025499999999999996, 0.0005081
0.000256, 0.0005122
0.000257, 0.000516
0.000258, 0.000519
0.000259, 0.0005214
0.00026, 0.0005236
0.000261, 0.0005269
0.00026199999999999997, 0.0005305
0.000263, 0.0005338
0.00026399999999999997, 0.000537
0.000265, 0.0005389
0.000266, 0.000541
0.000267, 0.0005428
0.000268, 0.0005453
0.000269, 0.0005482
0.00027, 0.0005516
0.000271, 0.0005532
0.000272, 0.0005549
0.00027299999999999997, 0.000557
0.000274, 0.0005592
0.00027499999999999996, 0.0005624
0.000276, 0.000565
0.000277, 0.0005697
0.000278, 0.0005731
0.000279, 0.0005763
0.00028, 0.0005793
0.000281, 0.000583
0.00028199999999999997, 0.0005865
0.000283, 0.0005892
0.00028399999999999996, 0.0005933
0.000285, 0.0005981
0.000286, 0.000603
0.000287, 0.000608
0.000288, 0.0006112
0.000289, 0.0006143
0.00029, 0.0006177
0.00029099999999999997, 0.0006211
0.000292, 0.0006259
0.00029299999999999997, 0.0006309
0.000294, 0.0006342
0.00029499999999999996, 0.0006389
0.000296, 0.000644
0.000297, 0.0006481
0.000298, 0.0006531
0.000299, 0.0006569
